Image,target
"[[[  6   6   6]
  [  6   6   6]
  [  6   6   6]
  ...
  [  5   9   8]
  [  8   8   8]
  [  8   8   8]]

 [[  6   6   6]
  [  6   6   6]
  [  6   6   6]
  ...
  [ 10  10  10]
  [  8   8   8]
  [  8   8   8]]

 [[  6   6   6]
  [  6   6   6]
  [  6   6   6]
  ...
  [ 10  10  10]
  [  8   8   8]
  [  8   8   8]]

 ...

 [[ 74  78 103]
  [ 71  75 104]
  [ 77  76 107]
  ...
  [ 57  57  83]
  [ 52  52  78]
  [ 69  68 102]]

 [[ 88  99 129]
  [ 67  68  89]
  [ 62  63  84]
  ...
  [ 53  54  75]
  [ 58  59  80]
  [ 50  51  69]]

 [[ 50  51  72]
  [ 50  51  72]
  [ 44  45  63]
  ...
  [ 50  48  61]
  [ 46  44  57]
  [ 48  46  59]]]",kuchipudi
"[[[27 27 29]
  [27 27 29]
  [27 27 29]
  ...
  [47 46 52]
  [45 44 50]
  [45 44 50]]

 [[27 27 29]
  [27 27 29]
  [27 27 29]
  ...
  [45 44 50]
  [45 44 50]
  [45 44 50]]

 [[27 27 29]
  [27 27 29]
  [27 27 29]
  ...
  [44 43 49]
  [44 43 49]
  [44 43 49]]

 ...

 [[21 21 21]
  [21 21 21]
  [22 22 22]
  ...
  [19 21 16]
  [20 20 20]
  [20 20 20]]

 [[21 21 21]
  [21 21 21]
  [22 22 22]
  ...
  [20 21 15]
  [20 20 20]
  [20 20 20]]

 [[22 22 22]
  [22 22 22]
  [22 22 22]
  ...
  [20 19 24]
  [19 19 19]
  [19 19 19]]]",bharatanatyam
"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[108  41  14]
  [109  42  15]
  [110  43  16]
  ...
  [111  39  14]
  [111  39  14]
  [117  45  20]]

 [[100  33   6]
  [101  34   7]
  [102  35   8]
  ...
  [113  39  14]
  [113  39  14]
  [116  42  17]]

 [[ 90  23   0]
  [ 90  23   0]
  [ 90  23   0]
  ...
  [112  36  12]
  [112  36  12]
  [110  34  10]]]",mohiniyattam
"[[[ 17  18  20]
  [  9  10  12]
  [ 10  11  13]
  ...
  [ 21  22  26]
  [ 20  21  25]
  [ 17  18  22]]

 [[ 17  18  20]
  [  9  10  12]
  [ 10  11  13]
  ...
  [ 21  22  26]
  [ 19  20  24]
  [ 18  19  23]]

 [[ 18  19  21]
  [  7   8  10]
  [ 10  11  13]
  ...
  [ 19  20  24]
  [ 18  19  23]
  [ 18  19  23]]

 ...

 [[110  95  74]
  [ 85  70  49]
  [ 70  55  36]
  ...
  [ 99  72  51]
  [ 99  72  51]
  [ 85  58  39]]

 [[ 81  65  49]
  [ 95  79  63]
  [110  94  79]
  ...
  [ 53  46  40]
  [ 48  40  37]
  [ 63  55  52]]

 [[ 87  70  50]
  [ 91  74  54]
  [ 76  59  41]
  ...
  [122  94  72]
  [100  72  50]
  [122  94  72]]]",bharatanatyam
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [254 255 255]
  [254 255 255]
  [255 253 254]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [252 254 253]
  [252 254 253]
  [250 254 253]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [251 253 252]
  [250 252 251]
  [243 252 249]]

 ...

 [[255 255 253]
  [255 255 255]
  [250 254 255]
  ...
  [253 255 254]
  [254 254 254]
  [255 255 255]]

 [[255 253 252]
  [255 253 254]
  [252 255 255]
  ...
  [254 254 254]
  [253 255 254]
  [255 255 255]]

 [[255 253 255]
  [255 253 254]
  [254 253 249]
  ...
  [255 252 254]
  [252 255 255]
  [255 255 255]]]",bharatanatyam
"[[[89 86 69]
  [90 87 70]
  [91 88 71]
  ...
  [72 66 50]
  [71 65 49]
  [70 64 48]]

 [[91 88 71]
  [92 89 72]
  [93 90 73]
  ...
  [74 68 52]
  [73 67 51]
  [72 66 50]]

 [[92 89 72]
  [93 90 73]
  [94 91 74]
  ...
  [75 69 53]
  [74 68 52]
  [72 66 50]]

 ...

 [[79 76 59]
  [80 77 60]
  [81 78 61]
  ...
  [51 44 26]
  [51 44 26]
  [51 44 26]]

 [[78 75 58]
  [79 76 59]
  [80 77 60]
  ...
  [51 44 26]
  [51 44 26]
  [51 44 26]]

 [[74 71 54]
  [74 71 54]
  [76 73 56]
  ...
  [50 43 25]
  [50 43 25]
  [50 43 25]]]",sattriya
"[[[  6   6   4]
  [  7   7   5]
  [  8   8   6]
  ...
  [  7   7   5]
  [  7   7   5]
  [  7   7   5]]

 [[  6   6   4]
  [  7   7   5]
  [  8   8   6]
  ...
  [  7   7   5]
  [  7   7   5]
  [  7   7   5]]

 [[  7   7   5]
  [  7   7   5]
  [  7   7   5]
  ...
  [  7   7   5]
  [  7   7   5]
  [  7   7   5]]

 ...

 [[ 46  29  21]
  [ 54  37  29]
  [ 61  44  36]
  ...
  [ 86  58  37]
  [ 90  63  42]
  [ 87  62  40]]

 [[ 54  37  29]
  [ 56  39  31]
  [ 58  41  33]
  ...
  [100  72  51]
  [ 94  67  46]
  [ 88  63  41]]

 [[ 60  43  35]
  [ 63  46  38]
  [ 59  42  34]
  ...
  [ 97  69  48]
  [ 98  71  50]
  [ 97  72  50]]]",kathak
"[[[ 4  4  6]
  [ 4  4  6]
  [ 4  4  6]
  ...
  [ 4  4  6]
  [ 3  3  5]
  [ 4  4  6]]

 [[ 4  4  6]
  [ 4  4  6]
  [ 4  4  6]
  ...
  [ 4  4  6]
  [ 4  4  6]
  [ 3  3  5]]

 [[ 4  4  6]
  [ 4  4  6]
  [ 4  4  6]
  ...
  [ 4  4  6]
  [ 4  4  6]
  [ 4  4  6]]

 ...

 [[ 5  3  6]
  [ 5  3  6]
  [ 5  3  6]
  ...
  [ 7  5  8]
  [ 7  5  8]
  [ 7  5  8]]

 [[ 5  3  6]
  [ 5  3  6]
  [ 5  3  6]
  ...
  [ 7  5  8]
  [ 7  5  8]
  [ 7  5  8]]

 [[ 5  3  6]
  [ 5  3  6]
  [ 5  3  6]
  ...
  [ 5  3  6]
  [ 7  5  6]
  [ 9  3 15]]]",kathakali
"[[[ 21   2   6]
  [ 20   1   5]
  [ 19   0   4]
  ...
  [ 15   1   0]
  [ 12   0   2]
  [ 12   0   2]]

 [[ 21   2   6]
  [ 20   1   5]
  [ 19   0   4]
  ...
  [ 15   1   0]
  [ 12   0   2]
  [ 12   0   2]]

 [[ 20   1   5]
  [ 20   1   5]
  [ 20   1   5]
  ...
  [ 15   1   0]
  [ 12   0   2]
  [ 12   0   2]]

 ...

 [[ 94  43  39]
  [ 95  44  40]
  [ 96  45  41]
  ...
  [128  65  50]
  [129  65  55]
  [129  65  55]]

 [[ 83  32  28]
  [ 84  33  29]
  [ 84  33  29]
  ...
  [132  68  58]
  [135  71  61]
  [136  72  62]]

 [[103  52  48]
  [ 83  32  28]
  [ 98  47  43]
  ...
  [128  64  55]
  [127  63  53]
  [125  61  51]]]",mohiniyattam
"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[212 194 194]
  [247 217 147]
  [244 243 212]
  ...
  [ 83  88  81]
  [224 193 188]
  [  0   2   0]]

 [[236 214 216]
  [235 200 162]
  [232 231 187]
  ...
  [128 135 119]
  [212 182 172]
  [  0   2   0]]

 [[236 208 207]
  [219 178 172]
  [208 201 173]
  ...
  [134 143 116]
  [222 193 179]
  [  0   2   0]]]",sattriya
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",bharatanatyam
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[164 120 147]
  [210 166 193]
  [235 191 218]
  ...
  [122  92 120]
  [101  71  99]
  [ 96  66  94]]

 [[157 110 142]
  [150 103 135]
  [154 107 139]
  ...
  [112  76  86]
  [115  79  89]
  [114  78  88]]

 [[149 110 129]
  [125  86 105]
  [116  77  96]
  ...
  [179 145 143]
  [169 135 133]
  [164 130 128]]]",odissi
"[[[ 1  1  3]
  [ 1  0  5]
  [ 1  0  6]
  ...
  [ 1  1 13]
  [ 1  0  5]
  [ 0  0 12]]

 [[ 1  1  3]
  [ 1  0  5]
  [ 1  0  6]
  ...
  [ 2  2 14]
  [ 1  0  5]
  [ 1  0 16]]

 [[ 1  1  3]
  [ 1  1  3]
  [ 1  0  5]
  ...
  [ 2  0 21]
  [ 1  1  9]
  [ 2  2 14]]

 ...

 [[35 16 12]
  [44 17 22]
  [46 21 25]
  ...
  [51 33 47]
  [47 29 43]
  [39 19 31]]

 [[35 10 16]
  [37 12 16]
  [44 19 25]
  ...
  [48 30 44]
  [44 26 40]
  [39 19 31]]

 [[34  9 12]
  [35 13 15]
  [48 22 25]
  ...
  [44 26 38]
  [37 24 34]
  [30 12 26]]]",kathak
"[[[ 10  15  21]
  [  5   0   0]
  [  1  10  19]
  ...
  [ 12  16  25]
  [  1   1   1]
  [ 11  12  14]]

 [[  8  15  21]
  [  3   2   0]
  [  2  11  20]
  ...
  [  5   9  18]
  [  2   2   2]
  [ 12  13  15]]

 [[  2  13  17]
  [  2   2   0]
  [  0   8  17]
  ...
  [ 26  30  39]
  [  0   0   0]
  [  5   6   8]]

 ...

 [[240 176 141]
  [173  76  33]
  [142  45  39]
  ...
  [185 131 119]
  [185 169 154]
  [ 24  16   5]]

 [[135  79  42]
  [109  40   7]
  [ 55   3   0]
  ...
  [102  76  51]
  [ 89  63  38]
  [ 58  49  32]]

 [[163 135  72]
  [154 124  62]
  [164 135  75]
  ...
  [139 107  66]
  [121 100  55]
  [ 74  56  20]]]",sattriya
"[[[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 ...

 [[74 74 66]
  [57 54 47]
  [62 55 49]
  ...
  [50 65 36]
  [47 63 34]
  [54 69 40]]

 [[24 30 20]
  [28 34 24]
  [31 34 25]
  ...
  [19 29 18]
  [23 29 19]
  [23 29 19]]

 [[31 26 22]
  [31 26 22]
  [33 30 25]
  ...
  [17 21 22]
  [23 23 25]
  [22 20 23]]]",sattriya
"[[[193 191 192]
  [188 186 189]
  [ 29  11   0]
  ...
  [  2   2   2]
  [195 195 195]
  [196 196 196]]

 [[198 196 197]
  [193 191 194]
  [ 42  24  12]
  ...
  [  0   0   0]
  [193 193 193]
  [194 194 194]]

 [[204 202 203]
  [200 198 201]
  [ 43  25  13]
  ...
  [  4   4   4]
  [189 189 189]
  [193 193 193]]

 ...

 [[174 172 175]
  [169 181 171]
  [ 22  47   5]
  ...
  [ 42 100  13]
  [174 197 179]
  [206 200 210]]

 [[167 161 163]
  [141 154 137]
  [ 55  84  30]
  ...
  [ 45 108  17]
  [177 201 179]
  [207 198 201]]

 [[163 153 154]
  [132 146 123]
  [ 47  84  14]
  ...
  [ 51 121  23]
  [182 206 180]
  [209 195 192]]]",kuchipudi
"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [ 28   0   0]
  [  0   5   1]
  [  4   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [133  21  10]
  [ 57  10   4]
  [  0   4   6]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [113  17   5]
  [133  35  22]
  [ 22   0   0]]]",odissi
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[253 249 246]
  [253 249 246]
  [253 249 246]
  ...
  [254 254 254]
  [255 255 255]
  [255 255 255]]

 [[253 249 246]
  [253 249 246]
  [253 249 246]
  ...
  [252 252 252]
  [255 255 255]
  [255 255 255]]

 [[251 247 244]
  [251 247 244]
  [251 247 244]
  ...
  [254 254 254]
  [255 255 255]
  [255 255 255]]]",kathak
"[[[115  88 105]
  [118  92 105]
  [118  95 103]
  ...
  [ 91  81  92]
  [ 86  78  89]
  [ 87  77  88]]

 [[105  77  99]
  [111  84 101]
  [105  79  88]
  ...
  [103  92 106]
  [ 99  91 106]
  [ 97  86 102]]

 [[103  74  92]
  [108  80  95]
  [107  77  85]
  ...
  [ 99  87  99]
  [ 93  85  96]
  [ 96  86  97]]

 ...

 [[ 73  46  63]
  [ 67  40  57]
  [ 71  42  62]
  ...
  [109  87 110]
  [112  89 115]
  [113  91 114]]

 [[ 96  63  92]
  [103  70  99]
  [ 89  57  81]
  ...
  [117  96 115]
  [118  96 117]
  [113  92 111]]

 [[114  84 112]
  [119  88 119]
  [113  80 107]
  ...
  [ 59  42  48]
  [ 69  52  62]
  [ 68  49  55]]]",manipuri
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]

 ...

 [[0 0 0]
  [0 0 0]
  [1 1 1]
  ...
  [2 2 2]
  [2 2 2]
  [2 2 2]]

 [[2 2 2]
  [2 2 2]
  [2 2 2]
  ...
  [2 2 2]
  [2 2 2]
  [2 2 2]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]",kathakali
"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[132 104  83]
  [133 105  84]
  [120  92  71]
  ...
  [119  91  70]
  [117  91  68]
  [135 109  86]]

 [[123  95  74]
  [122  94  73]
  [125  97  76]
  ...
  [ 98  70  49]
  [110  84  61]
  [117  91  68]]

 [[122  89  70]
  [117  89  68]
  [132 107  85]
  ...
  [110  82  61]
  [106  79  58]
  [ 99  72  51]]]",bharatanatyam
"[[[12 14 26]
  [14 16 28]
  [12 14 26]
  ...
  [10  9 14]
  [ 9  9 11]
  [ 9  9  9]]

 [[13 16 25]
  [15 17 30]
  [13 15 27]
  ...
  [11  6 13]
  [ 9  7 12]
  [ 9  7 10]]

 [[11 14 23]
  [15 17 30]
  [13 15 27]
  ...
  [ 9  8 13]
  [ 8  9 13]
  [ 7  8 10]]

 ...

 [[12 12 20]
  [12 12 20]
  [12 12 20]
  ...
  [ 6  7  9]
  [ 6  6  8]
  [ 6  6  8]]

 [[12 12 20]
  [12 12 20]
  [12 12 20]
  ...
  [ 6  7  9]
  [ 6  6  8]
  [ 6  6  8]]

 [[11 11 19]
  [12 12 20]
  [12 12 20]
  ...
  [ 6  6  8]
  [ 6  6  8]
  [ 6  6  8]]]",mohiniyattam
"[[[20 20 18]
  [19 19 17]
  [20 20 18]
  ...
  [16 16 16]
  [16 16 16]
  [14 14 14]]

 [[19 19 17]
  [17 17 15]
  [19 19 17]
  ...
  [16 16 16]
  [16 16 16]
  [16 16 16]]

 [[18 18 16]
  [17 17 15]
  [18 18 16]
  ...
  [16 16 16]
  [16 16 16]
  [17 17 17]]

 ...

 [[10  9 14]
  [ 9  9 11]
  [ 6  6  4]
  ...
  [14 12 13]
  [57 55 56]
  [ 7  7  7]]

 [[ 9  8 13]
  [ 7  7  9]
  [ 7  7  5]
  ...
  [ 9 11 10]
  [59 59 59]
  [ 6  6  6]]

 [[ 8  7 12]
  [ 6  6  8]
  [ 8  8  6]
  ...
  [ 5  9  8]
  [60 62 61]
  [ 9  9  9]]]",kathakali
"[[[  6   8   7]
  [  6   8   7]
  [  6   8   7]
  ...
  [  7   7   7]
  [  7   7   7]
  [  7   7   7]]

 [[  6   8   7]
  [  6   8   7]
  [  6   8   7]
  ...
  [  7   7   7]
  [  7   7   7]
  [  7   7   7]]

 [[  6   8   7]
  [  6   8   7]
  [  6   8   7]
  ...
  [  8   8   8]
  [  8   8   8]
  [  7   7   7]]

 ...

 [[ 96  34  13]
  [ 91  35  12]
  [ 86  34  10]
  ...
  [117  43  18]
  [122  48  23]
  [128  51  25]]

 [[ 81  29   8]
  [ 83  32  11]
  [ 84  36  14]
  ...
  [139  59  32]
  [131  51  24]
  [127  50  24]]

 [[ 86  39  13]
  [ 87  39  19]
  [ 83  31  17]
  ...
  [134  64  28]
  [136  63  22]
  [146  66  31]]]",kuchipudi
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",manipuri
"[[[ 60  68  53]
  [ 63  71  56]
  [ 65  73  58]
  ...
  [ 40  49  30]
  [ 39  48  29]
  [ 34  46  32]]

 [[ 67  70  61]
  [ 67  69  56]
  [ 62  70  55]
  ...
  [ 40  49  30]
  [ 40  49  30]
  [ 34  46  32]]

 [[ 64  67  58]
  [ 63  65  52]
  [ 58  66  51]
  ...
  [ 40  49  30]
  [ 40  49  30]
  [ 37  49  35]]

 ...

 [[131 137 133]
  [134 140 136]
  [126 134 119]
  ...
  [202 202 164]
  [134 137 118]
  [128 132 117]]

 [[126 132 128]
  [126 132 128]
  [124 130 130]
  ...
  [143 144 126]
  [144 147 128]
  [138 142 127]]

 [[145 150 143]
  [129 134 127]
  [126 132 128]
  ...
  [134 138 123]
  [134 136 122]
  [127 129 115]]]",mohiniyattam
"[[[ 27  33  95]
  [ 32  33  97]
  [ 32  33  97]
  ...
  [ 14  27  72]
  [ 17  30  75]
  [ 11  24  69]]

 [[ 27  33  95]
  [ 28  34  96]
  [ 27  33  95]
  ...
  [  3  16  61]
  [ 19  32  77]
  [ 11  24  69]]

 [[ 28  32  95]
  [ 25  33  95]
  [ 25  33  95]
  ...
  [ 18  31  75]
  [  7  20  64]
  [ 10  23  67]]

 ...

 [[134 128 142]
  [151 144 160]
  [145 147 160]
  ...
  [ 69  60  91]
  [ 82  72 109]
  [ 75  66  95]]

 [[229 227 240]
  [251 248 255]
  [230 233 248]
  ...
  [121 120 138]
  [144 135 156]
  [134 127 145]]

 [[127 125 138]
  [128 126 139]
  [ 97 101 112]
  ...
  [138 138 148]
  [137 129 142]
  [125 119 133]]]",bharatanatyam
"[[[ 86  75  73]
  [ 27  18  19]
  [ 28  17  21]
  ...
  [ 72  44  41]
  [ 70  45  41]
  [ 67  43  39]]

 [[ 78  66  66]
  [ 22  10  12]
  [ 32  21  25]
  ...
  [ 69  43  42]
  [ 67  41  40]
  [ 70  44  43]]

 [[ 78  73  70]
  [ 28  22  22]
  [ 32  21  25]
  ...
  [ 72  42  42]
  [ 67  41  40]
  [ 67  41  40]]

 ...

 [[105  77  89]
  [ 94  59  65]
  [ 96  53  62]
  ...
  [189 184 178]
  [181 192 188]
  [128  74  30]]

 [[ 35  54  71]
  [ 33  46  62]
  [ 25  47  60]
  ...
  [171 176 182]
  [119 103 103]
  [123  67  18]]

 [[ 39  47  66]
  [ 40  43  60]
  [ 35  40  59]
  ...
  [167 161 173]
  [158 113  45]
  [124  62  15]]]",mohiniyattam
"[[[ 30  30  32]
  [ 26  26  28]
  [ 23  23  25]
  ...
  [ 10  10   2]
  [  9  10   5]
  [  5   6   1]]

 [[ 38  38  40]
  [ 38  38  40]
  [ 37  37  39]
  ...
  [ 10  10   2]
  [  9  10   5]
  [  5   6   1]]

 [[ 37  37  39]
  [ 37  37  39]
  [ 37  37  39]
  ...
  [ 10  10   2]
  [  9  10   5]
  [  5   6   1]]

 ...

 [[ 73  73  83]
  [ 67  67  77]
  [ 84  84  94]
  ...
  [ 10  10   2]
  [  9  10   5]
  [  5   6   1]]

 [[ 88  88  98]
  [ 73  73  83]
  [ 90  90 100]
  ...
  [ 10  10   2]
  [  9  10   5]
  [  5   6   1]]

 [[ 96  96 106]
  [ 90  90 100]
  [ 70  70  80]
  ...
  [ 10  10   2]
  [  9  10   5]
  [  5   6   1]]]",kathak
"[[[  1   1   3]
  [  1   1   1]
  [  3   3   3]
  ...
  [175 113 102]
  [173 120 112]
  [157 110 102]]

 [[  1   1   3]
  [  1   1   3]
  [  2   2   2]
  ...
  [172 104 101]
  [173 113 113]
  [170 116 116]]

 [[  1   0   5]
  [  1   1   3]
  [  1   1   1]
  ...
  [102  58  57]
  [ 97  62  60]
  [ 26   0   0]]

 ...

 [[ 38  13   9]
  [ 50   9   5]
  [ 61  11   2]
  ...
  [121  25  13]
  [126  24   9]
  [128  20   8]]

 [[ 33  14  10]
  [ 47  10   4]
  [ 61  11   4]
  ...
  [116  18   7]
  [135  32  15]
  [147  39  26]]

 [[ 23  16  10]
  [ 41  10   7]
  [ 64  11   5]
  ...
  [137  37  22]
  [144  39  20]
  [162  52  37]]]",kathakali
"[[[23 23 23]
  [23 23 23]
  [23 23 23]
  ...
  [23 23 23]
  [23 23 23]
  [23 23 23]]

 [[23 23 23]
  [23 23 23]
  [23 23 23]
  ...
  [23 23 23]
  [23 23 23]
  [23 23 23]]

 [[23 23 23]
  [23 23 23]
  [23 23 23]
  ...
  [23 23 23]
  [23 23 23]
  [23 23 23]]

 ...

 [[41 42 36]
  [46 45 40]
  [47 46 41]
  ...
  [50 50 42]
  [51 51 43]
  [53 53 45]]

 [[47 50 41]
  [50 51 43]
  [57 54 47]
  ...
  [53 50 41]
  [51 48 39]
  [55 52 43]]

 [[53 49 46]
  [54 53 49]
  [63 59 50]
  ...
  [67 61 47]
  [70 64 50]
  [69 65 53]]]",kuchipudi
"[[[52 52 60]
  [52 52 60]
  [52 52 60]
  ...
  [56 55 61]
  [54 53 59]
  [51 50 56]]

 [[52 52 60]
  [52 52 60]
  [52 52 60]
  ...
  [54 53 59]
  [52 51 57]
  [50 49 55]]

 [[50 50 58]
  [51 51 59]
  [53 53 61]
  ...
  [51 50 56]
  [51 50 56]
  [49 48 54]]

 ...

 [[45 45 53]
  [43 43 51]
  [46 46 54]
  ...
  [49 48 56]
  [48 47 55]
  [47 46 54]]

 [[47 47 57]
  [47 47 57]
  [48 48 58]
  ...
  [51 51 59]
  [51 51 59]
  [51 51 59]]

 [[50 50 60]
  [50 50 60]
  [50 50 60]
  ...
  [55 55 63]
  [55 55 63]
  [55 55 63]]]",bharatanatyam
"[[[ 68  58  57]
  [ 72  62  61]
  [ 66  56  55]
  ...
  [ 10   5   2]
  [  8   3   0]
  [  6   1   0]]

 [[ 72  62  61]
  [ 76  66  65]
  [ 73  63  62]
  ...
  [ 11   6   3]
  [  9   4   1]
  [  8   3   0]]

 [[ 74  64  63]
  [ 78  68  67]
  [ 78  68  67]
  ...
  [ 12   7   4]
  [ 11   6   3]
  [  9   4   1]]

 ...

 [[ 40  21  14]
  [252 235 217]
  [ 24   7   0]
  ...
  [ 22  17  14]
  [ 28  23  20]
  [ 25  20  17]]

 [[ 60  42  40]
  [ 63  53  44]
  [ 65  31  22]
  ...
  [ 27  19  17]
  [ 20  12  10]
  [ 21  13  11]]

 [[ 50  35  32]
  [ 51  41  32]
  [ 97  63  54]
  ...
  [ 32  24  22]
  [ 27  19  17]
  [ 28  20  18]]]",mohiniyattam
"[[[145 112  95]
  [147 116  98]
  [147 118 102]
  ...
  [108  97 101]
  [108  97 101]
  [108  97 101]]

 [[152 113  96]
  [152 113  96]
  [155 114  96]
  ...
  [107  98 101]
  [107  98 101]
  [107  98 101]]

 [[153 121  98]
  [156 121  99]
  [158 122  98]
  ...
  [107 101 103]
  [107 101 103]
  [105  99 101]]

 ...

 [[103 110 120]
  [110 114 123]
  [113 117 126]
  ...
  [ 76  75  81]
  [ 77  76  82]
  [ 80  79  85]]

 [[102 112 121]
  [103 113 122]
  [106 113 121]
  ...
  [ 79  78  84]
  [ 79  78  84]
  [ 79  78  84]]

 [[ 99 113 122]
  [101 114 122]
  [105 114 123]
  ...
  [ 85  84  90]
  [ 85  84  90]
  [ 85  84  90]]]",bharatanatyam
